 (VITAMINAS A )  +  ASSSOCIAC�ES;25/04/2000;SIMILAR;104540166;01/04/2005;25000025416;VITAMINAS E SUPLEMENTOS MINERAIS;60874187000184 - DAIICHI SANKYO BRASIL FARMAC�UTICA LTDA;CADUCO/CANCELADO;
 AC SALICILICO + AC BENZOICO + IODO;19/05/2000;SIMILAR;119350001;01/05/2005;25010171858;ANTIMICOTICOS PARA USO TOPICO;63826069000199 - LABORATORIO FLORA DA AMAZONIA LTDA;CADUCO/CANCELADO;
 ALENDRONATO SODICO;04/06/2001;SIMILAR;100470305;01/05/2006;25351022805;SUPRESSORES DA REABSORCAO OSSEA;61286647000116 - SANDOZ DO BRASIL IND�STRIA FARMAC�UTICA LTDA;CADUCO/CANCELADO;
 ARNICA MONTANA;19/03/2002;FITOTER�PICO;104730021;01/03/2007;25025007821;FITOTERAPICO SIMPLES;92762277000170 - VIDORA FARMAC�UTICA LTDA;CADUCO/CANCELADO;
 ARNICA MONTANA L.;01/07/2002;FITOTER�PICO;131750004;01/06/2007;25351032631;FITOTERAPICO SIMPLES;00925697000101 - LIMED LABORATORIO INDUSTRIAL DE MEDICAMENTOS LTDA ME;CADUCO/CANCELADO;
 BUPIVACAINA + EPINEFRINA;07/06/2001;SIMILAR;105530205;01/05/2006;25000007532;ANESTESICOS;56998701000116 - ABBOTT LABORAT�RIOS DO BRASIL LTDA;CADUCO/CANCELADO;
 CETOCONAZOL;23/10/2002;SIMILAR;146950014;01/10/2007;25351007603;ANTIMICOTICO;02195505000184 - LABORAT�RIO INDUSTRIAL E FARMAC�UTICO BUCAR LTDA;CADUCO/CANCELADO;
 CLORETO DE CETILPIRIDINIO + BENZOCAINA;25/04/2001;SIMILAR;105830111;01/12/2005;25992016886;ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE;45992062000165 - GERMED FARMACEUTICA LTDA;CADUCO/CANCELADO;
 CLORETO DE SODIO;18/04/2002;SIMILAR;151700006;01/04/2007;25351032847;REIDRATANTES PARENTERAIS;02281006000100 - ISOFARMA INDUSTRIAL FARMAC�UTICA LTDA;CADUCO/CANCELADO;
 CLORIDRATO DE DOBUTAMINA  ( EQUIV. A 25 MG DE DOBUT. BASE);21/01/2002;SIMILAR;120690008;01/01/2012;25025003154;DILUENTES E VEICULOS DE MEDICAMENTOS + OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR;94869054000131 - LABORAT�RIOS LIBRA DO BRASIL LTDA;CADUCO/CANCELADO;
